Category,Feature,Description
Mode,Distorted Valley,Dynamic anomaly-based battlefield with changing events and selectable perks
Mode,No Man's Land,"PvE mode with AI enemies, fixed loadouts, and ticket entry system"
Mode,Warlord Tournament,Ranked 5-team competition based on loot value with visible enemy gear
Mode,Boss Rally,"Event mode with multiple bosses, stronger guards, and high-tier loot"
Communication,Proximity Voice Chat,3D spatial voice chat based on player distance and location
Weapons,FAMAS,New assault rifle added in Season 5
Weapons,T192,New weapon added in Season 5
Equipment,Emergency Smoke,Smoke grenade deployed when downed to aid survival
Balance,Ammo Rework,Adjusted high-tier ammo balance for fairness
Balance,Armor Rework,Updated armor system for improved combat balance
Balance,Weapon Tuning,General stat adjustments across weapons
Loot,Red Items Update,Interactive high-tier loot items introduced
Loot,Player-Created Rare Items,New system allowing rare crafted or generated items
Economy,Secure Case 3x3,Easier access to protected storage containers
Gameplay,Jump-shot Improvements,Refined movement and shooting animations
Performance,Optimization,General performance improvements and bug fixes
Events,Season Launch Rewards,"Free skins, Koen, and currency rewards"
Events,Twitch Drops,Streaming rewards and creator event incentives
